scientific_name,common_name_en,category,list_source,project_existing_media_note,iucn_search,gbif_species,morphosource,pbdb_ui,bhl,smithsonian_3d_search,sketchfab_search,xeno_canto,macaulay,notable_curated_count
Thylacinus cynocephalus,Thylacine,Mammals,unified_priority_csv,"Sketchfab ""Thylacine""",https://www.iucnredlist.org/search?query=Thylacinus%20cynocephalus,https://www.gbif.org/species/search?q=Thylacinus%20cynocephalus,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Thylacinus%20cynocephalus,https://paleobiodb.org/#/taxon/list?taxon_name=Thylacinus%20cynocephalus,https://www.biodiversitylibrary.org/search?searchTerm=Thylacinus%20cynocephalus,https://3d.si.edu/search?q=Thylacinus%20cynocephalus,https://sketchfab.com/search?q=Thylacinus%20cynocephalus,,,2
Hydrodamalis gigas,Steller's Sea Cow,Mammals,unified_priority_csv,"Sketchfab ""Steller's Sea Cow""",https://www.iucnredlist.org/search?query=Hydrodamalis%20gigas,https://www.gbif.org/species/search?q=Hydrodamalis%20gigas,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Hydrodamalis%20gigas,https://paleobiodb.org/#/taxon/list?taxon_name=Hydrodamalis%20gigas,https://www.biodiversitylibrary.org/search?searchTerm=Hydrodamalis%20gigas,https://3d.si.edu/search?q=Hydrodamalis%20gigas,https://sketchfab.com/search?q=Hydrodamalis%20gigas,,,1
Melomys rubicola,Bramble Cay Melomys,Mammals,unified_priority_csv,"Sketchfab ""Melomys""",https://www.iucnredlist.org/search?query=Melomys%20rubicola,https://www.gbif.org/species/search?q=Melomys%20rubicola,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Melomys%20rubicola,https://paleobiodb.org/#/taxon/list?taxon_name=Melomys%20rubicola,https://www.biodiversitylibrary.org/search?searchTerm=Melomys%20rubicola,https://3d.si.edu/search?q=Melomys%20rubicola,https://sketchfab.com/search?q=Melomys%20rubicola,,,0
Crocidura trichura,Christmas Island Shrew,Mammals,unified_priority_csv,"Sketchfab ""Shrew""",https://www.iucnredlist.org/search?query=Crocidura%20trichura,https://www.gbif.org/species/search?q=Crocidura%20trichura,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Crocidura%20trichura,https://paleobiodb.org/#/taxon/list?taxon_name=Crocidura%20trichura,https://www.biodiversitylibrary.org/search?searchTerm=Crocidura%20trichura,https://3d.si.edu/search?q=Crocidura%20trichura,https://sketchfab.com/search?q=Crocidura%20trichura,,,0
Potorous platyops,Broad-faced Potoroo,Mammals,unified_priority_csv,"Sketchfab ""Potoroo""",https://www.iucnredlist.org/search?query=Potorous%20platyops,https://www.gbif.org/species/search?q=Potorous%20platyops,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Potorous%20platyops,https://paleobiodb.org/#/taxon/list?taxon_name=Potorous%20platyops,https://www.biodiversitylibrary.org/search?searchTerm=Potorous%20platyops,https://3d.si.edu/search?q=Potorous%20platyops,https://sketchfab.com/search?q=Potorous%20platyops,,,0
Perameles papillon,Nullarbor Barred Bandicoot,Mammals,unified_priority_csv,"Sketchfab ""Bandicoot""",https://www.iucnredlist.org/search?query=Perameles%20papillon,https://www.gbif.org/species/search?q=Perameles%20papillon,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Perameles%20papillon,https://paleobiodb.org/#/taxon/list?taxon_name=Perameles%20papillon,https://www.biodiversitylibrary.org/search?searchTerm=Perameles%20papillon,https://3d.si.edu/search?q=Perameles%20papillon,https://sketchfab.com/search?q=Perameles%20papillon,,,0
Perameles myosuros,Southern Long-nosed Bandicoot,Mammals,unified_priority_csv,"Sketchfab ""Bandicoot""",https://www.iucnredlist.org/search?query=Perameles%20myosuros,https://www.gbif.org/species/search?q=Perameles%20myosuros,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Perameles%20myosuros,https://paleobiodb.org/#/taxon/list?taxon_name=Perameles%20myosuros,https://www.biodiversitylibrary.org/search?searchTerm=Perameles%20myosuros,https://3d.si.edu/search?q=Perameles%20myosuros,https://sketchfab.com/search?q=Perameles%20myosuros,,,0
Perameles notina,Southeastern Striped Bandicoot,Mammals,unified_priority_csv,"Sketchfab ""Bandicoot""",https://www.iucnredlist.org/search?query=Perameles%20notina,https://www.gbif.org/species/search?q=Perameles%20notina,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Perameles%20notina,https://paleobiodb.org/#/taxon/list?taxon_name=Perameles%20notina,https://www.biodiversitylibrary.org/search?searchTerm=Perameles%20notina,https://3d.si.edu/search?q=Perameles%20notina,https://sketchfab.com/search?q=Perameles%20notina,,,0
Chaeropus ecaudatus,Southern Pig-footed Bandicoot,Mammals,unified_priority_csv,"Sketchfab ""Bandicoot""",https://www.iucnredlist.org/search?query=Chaeropus%20ecaudatus,https://www.gbif.org/species/search?q=Chaeropus%20ecaudatus,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Chaeropus%20ecaudatus,https://paleobiodb.org/#/taxon/list?taxon_name=Chaeropus%20ecaudatus,https://www.biodiversitylibrary.org/search?searchTerm=Chaeropus%20ecaudatus,https://3d.si.edu/search?q=Chaeropus%20ecaudatus,https://sketchfab.com/search?q=Chaeropus%20ecaudatus,,,0
Chaeropus yirratji,Northern Pig-footed Bandicoot,Mammals,unified_priority_csv,"Sketchfab ""Bandicoot""",https://www.iucnredlist.org/search?query=Chaeropus%20yirratji,https://www.gbif.org/species/search?q=Chaeropus%20yirratji,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Chaeropus%20yirratji,https://paleobiodb.org/#/taxon/list?taxon_name=Chaeropus%20yirratji,https://www.biodiversitylibrary.org/search?searchTerm=Chaeropus%20yirratji,https://3d.si.edu/search?q=Chaeropus%20yirratji,https://sketchfab.com/search?q=Chaeropus%20yirratji,,,0
Zalophus japonicus,Japanese Sea Lion,Mammals,unified_priority_csv,"Sketchfab ""Sea Lion""",https://www.iucnredlist.org/search?query=Zalophus%20japonicus,https://www.gbif.org/species/search?q=Zalophus%20japonicus,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Zalophus%20japonicus,https://paleobiodb.org/#/taxon/list?taxon_name=Zalophus%20japonicus,https://www.biodiversitylibrary.org/search?searchTerm=Zalophus%20japonicus,https://3d.si.edu/search?q=Zalophus%20japonicus,https://sketchfab.com/search?q=Zalophus%20japonicus,,,0
Diceros bicornis longipes,Western Black Rhinoceros,Mammals,unified_priority_csv,"Sketchfab ""Black Rhino""",https://www.iucnredlist.org/search?query=Diceros%20bicornis%20longipes,https://www.gbif.org/species/search?q=Diceros%20bicornis%20longipes,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Diceros%20bicornis%20longipes,https://paleobiodb.org/#/taxon/list?taxon_name=Diceros%20bicornis%20longipes,https://www.biodiversitylibrary.org/search?searchTerm=Diceros%20bicornis%20longipes,https://3d.si.edu/search?q=Diceros%20bicornis%20longipes,https://sketchfab.com/search?q=Diceros%20bicornis%20longipes,,,0
Dusicyon australis,Falkland Islands Wolf,Mammals,unified_priority_csv,"Sketchfab ""Falkland Wolf""",https://www.iucnredlist.org/search?query=Dusicyon%20australis,https://www.gbif.org/species/search?q=Dusicyon%20australis,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Dusicyon%20australis,https://paleobiodb.org/#/taxon/list?taxon_name=Dusicyon%20australis,https://www.biodiversitylibrary.org/search?searchTerm=Dusicyon%20australis,https://3d.si.edu/search?q=Dusicyon%20australis,https://sketchfab.com/search?q=Dusicyon%20australis,,,0
Raphus cucullatus,Dodo,Birds,unified_priority_csv,"Sketchfab ""Dodo""",https://www.iucnredlist.org/search?query=Raphus%20cucullatus,https://www.gbif.org/species/search?q=Raphus%20cucullatus,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Raphus%20cucullatus,https://paleobiodb.org/#/taxon/list?taxon_name=Raphus%20cucullatus,https://www.biodiversitylibrary.org/search?searchTerm=Raphus%20cucullatus,https://3d.si.edu/search?q=Raphus%20cucullatus,https://sketchfab.com/search?q=Raphus%20cucullatus,https://xeno-canto.org/explore?query=Raphus%20cucullatus,https://search.macaulaylibrary.org/catalog?searchField=species&q=Raphus%20cucullatus,1
